period,train_start,train_end,test_start,test_end,status,exp_return_ann,realized_ret_ann,realized_ret_total,ew_ret_ann,ew_ret_total,turnover,tx_cost_bps,n_assets
1,2016-06-01,2019-05-01,2019-06-01,2019-08-01,Optimal,0.2544259285630692,0.3773783533016727,0.09397329139830868,0.36086177060514085,0.09020957161394305,0.5000000042,5.000000042000001,23
2,2016-09-01,2019-08-01,2019-09-01,2019-11-01,Optimal,0.29685954877015924,0.46464197814989516,0.12029288738807109,0.3889020267913158,0.10034058421831782,0.5000000074000001,5.000000074000001,15
3,2016-12-01,2019-11-01,2019-12-01,2020-02-01,Optimal,0.32323575345827354,0.5477909312310971,0.13961255955982033,-0.09886841797683671,-0.02829798310858933,0.49999999940000006,4.999999994,9
4,2017-03-01,2020-02-01,2020-03-01,2020-05-01,Optimal,0.3397563745308421,0.8084449086239301,0.20180169145557714,0.32044071887235315,0.06602521819786622,0.3333333334666666,3.333333334666666,7
5,2017-06-01,2020-05-01,2020-06-01,2020-08-01,Optimal,0.3415668436393372,1.6973047982432785,0.48456434774061186,0.7255477243699695,0.19107731226833868,0.0,0.0,7
6,2017-09-01,2020-08-01,2020-09-01,2020-11-01,Optimal,0.4671603970272634,0.08391869571092914,0.012531136432724299,0.25300508965292634,0.057217406376714575,0.39999999999999997,3.9999999999999996,8
7,2017-12-01,2020-11-01,2020-12-01,2021-02-01,Optimal,0.4478265869564787,0.13638370772720101,0.03129956462793504,0.2163518246481131,0.05463251255075119,0.2,2.0,7
8,2018-03-01,2021-02-01,2021-03-01,2021-05-01,Optimal,0.42377078380129884,0.2924343306973596,0.07159504907456338,0.548250406892119,0.14276051711275617,0.0,0.0,7
9,2018-06-01,2021-05-01,2021-06-01,2021-08-01,Optimal,0.4513427803496735,0.5573239963814082,0.14458404807835246,0.2765065009974002,0.07064319313931611,0.3,2.9999999999999996,7
10,2018-09-01,2021-08-01,2021-09-01,2021-11-01,Optimal,0.4678485635323351,0.6746079943762885,0.1650740939422326,0.2108521191105166,0.04855139967170308,0.5,5.0,8
11,2018-12-01,2021-11-01,2021-12-01,2022-02-01,Optimal,0.5682912284570871,-0.7202529355496318,-0.17244491275612384,-0.09581811027874049,-0.02629431626231904,0.09999999999999999,0.9999999999999999,7
12,2019-03-01,2022-02-01,2022-03-01,2022-05-01,Optimal,0.5300218274004042,-0.45866224576842385,-0.12294892777748245,0.004400151051359616,-0.0026452247171604437,0.5,5.0,8
13,2019-06-01,2022-05-01,2022-06-01,2022-08-01,Optimal,0.5286928831407904,-0.05169490256589421,-0.028583870699208425,-0.1480967282565752,-0.04360711920393079,0.30000000000000004,3.0000000000000004,7
14,2019-09-01,2022-08-01,2022-09-01,2022-11-01,Optimal,0.483289433346146,0.14847176209811042,0.026455361811450695,0.24729424533773492,0.05263043608291751,0.3,2.9999999999999996,7
15,2019-12-01,2022-11-01,2022-12-01,2023-02-01,Optimal,0.4427776858918834,0.26848353940190506,0.05505518573845425,-0.051712079058781085,-0.015749174708289737,0.5,5.0,7
16,2020-03-01,2023-02-01,2023-03-01,2023-05-01,Optimal,0.45427911199672955,0.2614881322043814,0.06525586829799712,0.17699440849577006,0.04444190831413364,0.3,2.9999999999999996,7
17,2020-06-01,2023-05-01,2023-06-01,2023-08-01,Optimal,0.43818512263866927,0.6883253172552029,0.17726160414511694,0.3505915949746982,0.08801375642591824,0.0,0.0,7
18,2020-09-01,2023-08-01,2023-09-01,2023-11-01,Optimal,0.3961173315858986,-0.21136295170196073,-0.059592943132525056,0.036692247154345714,0.005156493641786719,0.5,5.0,8
19,2020-12-01,2023-11-01,2023-12-01,2024-02-01,Optimal,0.3453638056269739,0.5171195801049261,0.13333972567742736,0.36207599096539256,0.09256814658336054,0.30000000000000004,3.0000000000000004,7
20,2021-03-01,2024-02-01,2024-03-01,2024-05-01,Optimal,0.34423980659694153,0.3126929211071465,0.07382020129953171,0.21542245044984992,0.05200791654349568,0.3,2.9999999999999996,7
21,2021-06-01,2024-05-01,2024-06-01,2024-08-01,Optimal,0.32582722553339616,0.1282565693574119,0.031722945759078414,0.3233809240989535,0.08286098270733233,0.0,0.0,7
22,2021-09-01,2024-08-01,2024-09-01,2024-11-01,Optimal,0.3228042262739419,0.40688920033526077,0.10426336121720747,0.2971353185112251,0.07429135587485947,0.3,2.9999999999999996,7
23,2021-12-01,2024-11-01,2024-12-01,2025-02-01,Optimal,0.33436415902004357,-0.056193124415927276,-0.016653807800783405,-0.05312678305407047,-0.014867465610005515,0.0,0.0,7
24,2022-03-01,2025-02-01,2025-03-01,2025-05-01,Optimal,0.36164256619616675,0.048437100528624044,0.004116171565487603,-0.1033895198838912,-0.027635259328994355,0.5,5.0,7
25,2022-06-01,2025-05-01,2025-06-01,2025-08-01,Optimal,0.4000367292698487,0.531392782986847,0.1370851121041794,0.3367385126189029,0.08621995144450212,0.39999999999999997,3.9999999999999996,7
26,2022-09-01,2025-08-01,2025-09-01,2025-11-01,Optimal,0.46499073686000736,0.4508385428763575,0.11458659575418717,0.2326468654940173,0.059156531374358945,0.09999999999999998,0.9999999999999998,7
27,2022-12-01,2025-11-01,2025-12-01,2026-02-01,Optimal,0.5005814168153273,0.12340694303280053,0.02936238186048179,0.3688057735770648,0.09420619454597845,0.39999999999999997,3.9999999999999996,7
