,Weight (%),"Exp Return (ann, %)",Sector
AMZN,15.0,34.1,Consumer Discretionary
NVDA,15.0,47.92,Information Technology
MSFT,5.0,31.98,Information Technology
AAPL,3.33,24.02,Information Technology
LIN,3.33,19.77,Materials
WMT,3.33,16.25,Consumer Staples
UNH,3.33,23.19,Health Care
SHW,3.33,15.43,Materials
PLD,3.33,19.44,Real Estate
PG,3.33,12.24,Consumer Staples
PFE,3.33,10.59,Health Care
NEE,3.33,20.53,Utilities
AMT,3.33,26.63,Real Estate
META,3.33,17.13,Communication Services
JPM,3.33,20.97,Financials
HON,3.33,17.3,Industrials
HD,3.33,16.16,Consumer Discretionary
GS,3.33,9.51,Financials
GOOGL,3.33,14.82,Communication Services
CVX,3.33,9.45,Energy
CAT,3.33,23.08,Industrials
BAC,3.33,25.27,Financials
JNJ,1.67,8.89,Health Care
KO,0.0,7.33,Consumer Staples
DUK,0.0,8.36,Utilities
SLB,0.0,-18.93,Energy
TSLA,0.0,1.69,Consumer Discretionary
UPS,0.0,2.32,Industrials
VZ,0.0,8.32,Communication Services
XOM,0.0,-1.96,Energy
